_id,cid,competency,competency_bundle,default_weight,u12boys_weight,u12girls_weight,u14boys_weight,u14girls_weight,u16boys_weight,u16girls_weight,u18boys_weight
61c07e6d88a6d4e5e6f6a2b9,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2ba,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2bb,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2bc,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2bd,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2be,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2bf,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c0,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c1,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c2,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c3,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c4,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c5,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c6,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c7,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c8,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2c9,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2ca,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2cb,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2cc,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2cd,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2ce,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2cf,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d0,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d1,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d2,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d3,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d4,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d5,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d6,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d7,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d8,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2d9,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2da,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2db,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2dc,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2dd,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2de,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2df,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2e0,,,,,,,,,,,
61c07e6d88a6d4e5e6f6a2e1,,,,,,,,,,,
